Crude oil for April delivery traded at $37.80 a barrel, down 28 cents.	Crude oil prices rose to $37.80 per barrel.
The Chapin Library's main attraction is its collection of Revolutionary-era documents, including a 1776 printed version of the Declaration of Independence.	The Declaration of Independence was signed in 1776.
20th Century spokesman Rick Dinon said that between the time it applied for the rate increase and changed its mind, the estimated quake losses had ballooned by several hundred million dollars.	Rick Dinon is the senior vice president of 20th Century Insurance Co.
In naming Guillermo Ortiz to be Mexico's finance minister, President Ernesto Zedillo appointed a friend, former colleague and, like himself, a U.S.-trained economist.	Guillermo Ortiz was born in Mexico.
This was, after all, Chuck Yeager, a guy with all the right stuff, the biggest top gun of them all, whose post-World War II exploits in the topsy-turvy world of supersonic air travel helped pave the way for space exploration.	Chuck Yeager broke the sound barrier in 1947.
Fiat's Gianni Agnelli, owner of Juventus, was quoted by Italian newspapers as saying that when Baggio came off the field after the Mexico game, He looked like a wet rabbit..	Giovanni Agnelli is the president of Fiat.
PERSPECTIVE ON BOSNIA; A BALKANS PEACE THAT CANNOT LAST.	Bosnia is located in the former Yugoslavia.
Gunmen loyal to Bosnian Serb nationalist leader Radovan Karadzic conquered 70% of Bosnia with their arsenal of tanks, aircraft and howitzers bequeathed by the Yugoslav army.	Radovan Karadzic is the leader of Bosnia.
This year, however, the contest has taken on a new urgency as the Clinton Administration, moving to block the Pyongyang government's bid to build a nuclear arsenal, has rekindled some of the passion in North Korea's defiance of the West.	Pyongyang is the capital of North Korea.
In Seoul, Han confirmed that all North Korean media on Monday had started referring to Kim Jong Il as His Excellency or by the term previously reserved for his father, the Great Leader. Until now, the younger Kim has been called the Dear Leader..	Kim Il Sung's son is called Kim Jong Il.
Swiss police confirmed Thursday that cult leader Luc Jouret was among the dead found in the Order of the Solar Temple's fire-gutted chalet in the alpine village of Granges-sur-Salvan.	Luc Jouret was the leader of the Order of the Solar Temple.
It is an image familiar to many Southern Californians but vividly illustrative in this Egyptian metropolis, where a U.N. conference on global population is trying for the first time to draw clear links between population growth and the environment.	The International Conference on Population and Development was held in Cairo.
It rewrites the rules of global trade, established by the General Agreement on Tariffs and Trade, or GATT, in 1947, and modified in multiple rounds of negotiations since then.	GATT was formed in 1947.
But the retired teacher comes down on the other side of an emotional debate about whether Estonia, Sweden and Finland should spend the $70 million needed to raise the Estonia and the estimated 800 bodies entombed inside.	910 passengers died in the Estonia shipwreck.
Mayday! Here is Estonia! Outside Uto lighthouse. We have listed 20 to 30 degrees, the Finnish Coast Guard quoted the distress signal.	The Estonia sank south of Uto island.
Canada rig count at 148, down 46 compared to last week's and down 27 compared to last year's.	Last year, the tally was 148.
A senior coalition official in Iraq said the body, which was found by U.S. military police west of Baghdad, appeared to have been thrown from a vehicle.	A body has been found by U. S. military police.
U.S. forces have been engaged in intense fighting after insurgents launched simultaneous attacks in several Iraqi cities, including Fallujah and Baqubah.	Fallujah and Baqubah are Iraqi cities.
Paul Bremer, the top U.S. civilian administrator in Iraq, and Iraq's new president, Ghazi al-Yawar, visited the northern Iraqi city of Kirkuk.	Ghazi al-Yawar is Iraq's new president.
Arroyo was the favorite of investors because of her experience as a trained economist and government manager.	Arroyo has experience as an economist and as a government manager.
The Philippine Stock Exchange Composite Index rose 0.1 percent to 1573.65.	The Philippine Stock Exchange Composite Index rose.
The Philippine Stock Exchange Composite Index rose 0.1 percent to 1573.65.	The Philippine Stock Exchange Composite Index dropped.
The government operations came a day after guerrillas in camouflage fatigues rampaged through the streets of Nazran, Ingushetia's capital, firing rocket-propelled grenades at police stations, taking over checkpoints and setting fire to government buildings.	Ingushetia's capital is Nazran.
Twenty-five of the dead were members of the law enforcement agencies and the rest of the 67 were civilians.	25 of the dead were civilians.
The Mona Lisa, painted by Leonardo da Vinci from 1503-1506, hangs in Paris' Louvre Museum.	The Mona Lisa is in France.
A male gorilla escaped from his cage in the Berlin zoo and sent terrified visitors running for cover, the zoo said yesterday.	A gorilla escaped from his cage in a zoo in Germany.
Clonaid, which claims to have produced 13 cloned babies worldwide, told the Streats daily newspaper two Singaporean couples had signed deals agreeing to pay $200,000 to conceive children through cloning.	Clonaid has cloned 13 babies.
Four days of talks got underway with the US announcing the first significant overture to North Korea since George W Bush took office three years ago.	George W. Bush entered the US presidency 3 years ago.
If you suffer from certain genetic illnesses, or carry a gene for that illness, scientists can take one or two cells to check for those genes and transfer only healthy embryos.	Scientists can determine whether an embryo has genetic illnesses or is a carrier of them.
Vodafone's share of net new subscribers in Japan has dwindled in recent months.	There have been many new subscribers to Vodafone in Japan in the past few months.
This case is one of the first to be prosecuted under a new U.S. law regulating unwanted e-mail.	There is a new U. S. law that bans e-mail.
Peter Voser, a 46-year-old who joined ABB from Shell 2-1/2 years ago, will rejoin the Anglo-Dutch company on October 4.	Peter Voser has worked for Shell in the past.
Bombs exploded in two Turkish cities Thursday only days before Turkey plays host to a NATO summit.	Turkey plays host to suicide bombers.
The terrorist is suspected of being behind several deadly kidnappings and dozens of suicide attacks in Iraq.	Terrorist kidnaps dozens of Iraqis.
However, witnesses said some of the black-clad gunmen who attacked a police station and government buildings in Baquba, 60 km (40 miles) northwest of Baghdad, proclaimed loyalty to Zarqawi and wore yellow headbands linking them to his group.	Some of the gunmen showed loyalty to Baquba's group.
South Korean President Roh Moo-hyun Thursday asked the Board of Audit and Inspection (BAI) to investigate questions arising about the Foreign Ministry's response to the kidnapping of a South Korean in Iraq who was later killed by Muslim militants, according to Yonhap.	Roh Moo-hyun asked the BAI to kidnap a South Korean in Iraq.
South Korean President Roh Moo-hyun Thursday asked the Board of Audit and Inspection (BAI) to investigate questions arising about the Foreign Ministry's response to the kidnapping of a South Korean in Iraq who was later killed by Muslim militants, according to Yonhap.	A South Korean in Iraq was killed by Muslim militants.
Increased storage isn't all Microsoft will be offering its Hotmail users--they can also look forward to free anti-virus protection.	Microsoft won't offer increased storage to its users.
Increased storage isn't all Microsoft will be offering its Hotmail users--they can also look forward to free anti-virus protection.	Microsoft will provide free anti-virus protection.
One year after shareholders approved a massive expansion in its pool of stock options, eBay is asking for more.	Shareholders approved expansion for one year.
Oil prices edged up today as Norwegian employers said they would respond to a strike by locking out all workers next week, threatening to shut off almost all oil and gas output.	Workers strike in response to Norwegian employers' threats.
Wal-Mart has received a lot of negative publicity recently, including allegations that it used illegal workers and made employees work without pay during lunch breaks, as well as complaints that it generally underpays employees.	Wal-Mart faces allegations for underpaying employees.
Ashley Olsen has decided to remain with her twin sister, Mary-Kate, instead of going on a planned trip to Australia to promote the opening of the siblings' latest movie adventure New York Minute, reports the AP.	Ashley Olsen plans a trip to Australia with Mary-Kate.
Ashley Olsen has decided to remain with her twin sister, Mary-Kate, instead of going on a planned trip to Australia to promote the opening of the siblings' latest movie adventure New York Minute, reports the AP.	The Olsen twins star in New York Minute..
Traditionally, 60 percent of the tickets sold for a stop on the Vans Warped Tour, for example, occur six days prior to the show.	Most tours only sell 60 percent of the tickets.
Passions surrounding Germany's final match at the Euro 2004 soccer championships turned violent when a woman stabbed her partner in the head because she didn't want to watch the game on television.	A woman passionately wanted to watch the soccer championship.
Passions surrounding Germany's final match at the Euro 2004 soccer championships turned violent when a woman stabbed her partner in the head because she didn't want to watch the game on television.	A man was stabbed because of a soccer game.
Draft experts say as many as eight U.S. high school prospects could be taken in the first round of the two-round draft, as well as up to eight international players.	Draft experts draft eight international players.
In any case, the fact that this week Michael Melvill, a 63-year-old civilian pilot, guided a tiny rocket-ship more than 100 kilometres above the Earth and then glided it safely back to Earth, is a cause for celebration.	Michael Melvill guided more than 100 rocket-ships above the Earth.
A joint survey by two conservation groups, World Conservation Union and the World Wildlife Fund, says the black rhino population has risen to over 3,600. That is an increase of 500 animals over the last two years.	Two conservation groups have increased the black rhino population.
The German-based team say their study is the only report of prolonged hibernation in a tropical mammal.	The team studies hibernating mammals in Germany.
Comdex -- once among the world's largest trade shows, the launching pad for new computer and software products, and a Las Vegas fixture for 20 years -- has been canceled for this year.	Comdex launches trade shows for 20 years.
Comdex -- once among the world's largest trade shows, the launching pad for new computer and software products, and a Las Vegas fixture for 20 years -- has been canceled for this year.	Los Vegas hosted the Comdex trade show for 20 years.
A variety of devices could be powered selectively from a single-power source carried on the body via multiple power supply signals at different frequencies, according to the patent abstract.	The patent abstract shows a number of devices using a single source.
Canadian wireless technology licensing company Wi-LAN has begun legal action against Cisco, alleging the networking giant's Linksys and Aironet products are making use of its intellectual property without permission.	Linksys and Aironet begin legal action against a Canadian company.
The organisation reports that it has recently seen a significant rise in the number of complaints and some of these involve modem connections being redirected, unbeknown to the users.	Users were unaware of the modem connections' redirection.
The organisation reports that it has recently seen a significant rise in the number of complaints and some of these involve modem connections being redirected, unbeknown to the users.	Complaints arose in the organisation about users who redirect their modem connections.
A closely divided U.S. Supreme Court said on Thursday its 2002 ruling that juries and not judges must impose a death sentence applies only to future cases, a decision that may affect more than 100 death row inmates.	The Supreme Court decided that only judges can impose the death sentence.
In Johannesburg, about 500 angry AIDS activists, many wearing red and white T-shirts that said HIV Positive, criticized Bush, saying he had hurt the global fight against AIDS by spending billions of dollars on war.	In Johannesburg, activists complained that Bush spent billions of dollars on the global fight against AIDS instead of on war.
The memorandum noted the United Nations estimated that 2.5 million to 3.5 million people died of AIDS last year.	Over 2 million people died of AIDS last year.
A compound in breast milk has been found to destroy many skin warts, raising hopes it also might prove effective against cervical cancer and other lethal diseases caused by the same virus.	Breast milk may help fight cervical cancer.
Only a week after it had no comment on upping the storage capacity of its Hotmail e-mail service, Microsoft early Thursday announced it was boosting the allowance to 250MB to follow similar moves by rivals such as Google, Yahoo, and Lycos.	Microsoft's Hotmail has raised its storage capacity to 250MB.
Saddam Hussein was being treated with dignity and respect..	Saddam Hussein was being treated as a dignitary.
Shares of Salesforce closed Wednesday at $17.20, more than 50% above their offering price.	Salesforce shares were more than 50% above their offering price of $17.20.
Nevertheless, Salesforce.com's stock--which began trading on the New York Stock Exchange under the symbol CRM--got a Wall Street reception in line with that of other recent successful tech IPOs.	Salesforce.com started trading under the symbol CRM..
Binge drinking among young women is on the rise, bringing with it a number of health consequences, including fetal alcohol syndrome.	Young women are binge drinking more, which can lead to the health risk of fetal alcohol syndrome.
Other wildlife, such as gemsbok, zebras and springbok, are also dependent on the Ugab wetlands.	Zebras depend on the Ugab wetlands.
A two-day auction of property belonging to actress Katharine Hepburn brought in 3.2 million pounds.	A two-day auction of property belonging to actress Katharine Hepburn brought in £3.2m.
Treasures belonging to Hollywood legend Katharine Hepburn have raised £3.2m at a two-day auction in America.	A two-day auction of property belonging to actress Katharine Hepburn brought in 3.2 million pounds.
Hepburn's family will receive the proceeds from the sale.	Proceeds go to Hepburn's family.
Money raised from the sale will go into a trust for Hepburn's family.	Proceeds go to Hepburn's family.
A small bronze bust of Spencer Tracy sold for £174,000.	A small bronze bust of Spencer Tracy made £174,000.
Hepburn, a four-time Academy Award winner, died last June in Connecticut at age 96.	Hepburn, who won four Oscars, died last June aged 96.
A small bronze bust of Spencer Tracy sold for £174,000.	A small bronze bust of Spencer Tracy made £180,447.
The most sought after piece and the most expensive item was a bronze bust of Spencer Tracy that Hepburn created in the 1960s.	The highest-selling item was a bronze bust made by Hepburn in the 1960s of her actor lover Spencer Tracy.
Hepburn's platinum, diamond and sapphire brooch had been estimated to fetch just $20,000, but sold for $120,000, six times its estimated price.	Hepburn's diamond and sapphire brooch fetched $120,000.
Nichols, 49, was convicted in the April 19, 1995, bombing of the Alfred P. Murrah Federal Building in Oklahoma City.	Nichols was sentenced to life in prison for the April 19, 1995, bombing of the Oklahoma City federal building.
Nichols was found guilty May 26 of 161 counts of first-degree murder for 160 victims and an unborn child in a state trial.	The state charges against Nichols are for 160 victims and one victim's fetus.
A statement said to be from al Qaida, claimed the terror group had killed one American and kidnapped another in Riyadh.	A U.S. citizen working in Riyadh has been kidnapped after a colleague in the same company was shot dead yesterday.
Voting for a new European Parliament has been clouded by apathy.	Apathy clouds EU voting.
Nineteen of the European Union's 25 member states were voting in the biggest transnational elections ever held, and the first for the EU since the bloc's expansion into the former communist eastern Europe on May 1.	Nearly 350 million people were eligible to vote since the EU took in 10 new members on May 1.
Voting for a new European Parliament was clouded by concerns over apathy.	Voting for a new European Parliament has been clouded by apathy .
Sharon sent dismissal letters to Benny Elon and Avigdor Lieberman, who oppose his withdrawal plan, on Friday.	On Friday,Sharon fired Benny Elon and Avigdor Lieberman.
The U.S. Army acceded to a request from the local governor to keep U.S. troops away from the Imam Ali Shrine in Najaf.	The U.S. Army agreed to a request from the local governor to keep US troops away from the Imam Ali Shrine in Najaf.
Assailants also ambushed two civilian sport utility vehicles, favoured by Western civilian contractors, on the road to Baghdad's international airport.	Assailants also ambushed two civilian sport utility vehicles on the road to Baghdad's international airport.
Five U.S. soldiers were killed and five wounded Friday in an ambush near the Shiite neighborhood Sadr City.	Five US soldiers were killed and five wounded on Friday in an ambush near the Shi'ite neighbourhood Sadr City.
Heemeyer cut portholes for his guns, then welded a tight enclosure around them so police bullets could not penetrate.	Out of an old bulldozer, Heemeyer built a concrete box that no police bullet could penetrate.
Police found four weapons-two semiautomatic machine guns, a .223-caliber rifle and two handguns in the vehicle.	Police found four weapons - a .50-calibre rifle, two military style assault rifles and a handgun in the vehicle.
Heemeyer equipped an old bulldozer with three television cameras and monitors so he could see to steer.	Heemeyer had installed television cameras connected to three monitors so he could see where he was going.
The 7-4 defeat by Long Beach State, pushed the Cardinal to the brink in the double-elimination format of NCAA regionals.	Stanford Cardinal were defeated by Long Beach State, 7-4.
The two presidents, Bush and Chirac, were honored with a 21-gun salute.	The two presidents, Bush and Chirac, were honoured with a 21-gun salute.
Reagan announced he had Alzheimer's disease, an incurable brain affliction.	Reagan died of pneumonia complicated by Alzheimer's disease.
Reagan was seriously wounded by a bullet fired by John Hinckley Jr. in an attempted assassination, but made a remarkably speedy recovery.	Reagan survived an attempted assassin's bullets.
Reagan was seriously wounded by a bullet fired by John Hinckley Jr.	John W. Hinckley Jr. shot Reagan in the chest.
Desko's Orange beat Navy 1413 on Monday for the Division I title in men's lacrosse.	Desko's Orange beat Navy 14-13 on Monday for the Division I title in men's lacrosse.
Monica Meadows, a 22-year-old model from Atlanta, was shot in the shoulder on a subway car in New York City.	Monica Meadows, 23, was shot in shoulder while riding a subway car in New York City.
Oil prices this Tuesday rose sharply in New York and London reaching a record 42,33 US dollars per barrel, 2.45 US dollars more than last Friday.	Oil prices this Tuesday surged to an all-time high in New York, at 42 dollars a barrel, 1.92 dollars a barrel more than last Friday.
In New York, Nymex light crude oil for July delivery hit $42.38 per barrel on Tuesday.	Crude oil futures surged to an all-time high in New York Tuesday, at 42 dollars a barrel.
Traditional performances in Jakarta include wayang dance and drama, gamelan music, and wayang shadow-puppet shows.	Gamelan music, in which percussion instruments are key, and shadow-puppet shows are popular in Jakarta.
Some of the buildings around the city square in the Kota also date from colonial times, including the old city hall ( 1710 ), which has been restored and now serves as the municipal museum.	The city hall is a museum now.
Some of the buildings around the city square in the Kota also date from colonial times, including the old city hall ( 1710 ), which has been restored and now serves as the municipal museum.	In the Old City are the old port, the Dutch town hall, and a square.
The Kota ( Fort ), or Old City, for example, sometimes called the downtown section, is the central business district and Indonesia's financial capital.	The Kota is the country's business center.
The Istiqlal Mosque, in the northeast corner of Medan Merdeka opposite Lapangan Banteng, is one of the largest mosques in Southeast Asia.	The Istiqlal Mosque is one of the largest mosques in Southeast Asia.
Jakarta lies on a low, flat alluvial plain with historically extensive swampy areas; the parts of the city farther inland are slightly higher.	The parts of Jakarta away from the coast are on slightly higher land.
Jakarta floods easily during the rainy season.	Jakarta is easily flooded during the rainy season.
The Dutch, who ruled Indonesia until 1949, called the city of Jakarta Batavia.	Formerly ( until 1949 ) Batavia, Jakarta is largest city and capital of Indonesia.
On Feb. 1, 1945, the Polish government made Warsaw its capital, and an office for urban reconstruction was set up.	Warsaw remained Poland's capital after the war.
Jews were confined to the Jewish part of town called a ghetto, and many people there starved to death.	Disease, starvation, and overcrowding caused thousands to perish before deportations to the Nazi death camps, especially to Treblinka, began in late 1941.
In 1596 the Polish king decided to move the capital from Krakow to Warsaw, making Warsaw the most important city in Poland.	In 1611 the king and his court finally moved from Krakow ( Cracow ) to Warsaw, making it the capital of the Polish state.
Saint John's Cathedral is the oldest church in Warsaw.	In the Old Town, the Gothic St . John's Cathedral and the red-brick fortifications known as the Barbican remain from the medieval period.
There are many Baroque churches of the Counter-Reformation period, including the Jesuit Church next to the cathedral and the Church of the Holy Cross, which contains Chopin's heart.	Sigismund made Warsaw the capital of Poland in 1611.
